SampleID	Salinity	pH	Redox_potential	Dissolved_oxygen	Temperature	AP	SM	NH4+_N	NO3-_N	TN	TC	TOC	Clay	Silt	Fine_sand	Medium_sand	Coarse_sand
mud04.2021.02.Z1	18.68 	8.25 	123.1	6.50 	12.90 	14.05	22.73781903	8.283483483	0.388288288	0.048	0.862	0.595655877	18.93	40.02	20.77	14.73	5.55
mud04.2021.02.Z2	18.68 	8.25 	123.1	6.20 	12.90 	14.05	22.73781903	8.283483483	0.388288288	0.048	0.862	0.595655877	18.93	40.02	20.77	14.73	5.55
mud04.2021.02.Z3	18.68 	8.25 	123.1	6.30 	12.90 	14.05	22.73781903	8.283483483	0.388288288	0.048	0.862	0.595655877	18.93	40.02	20.77	14.73	5.55
mud05.2021.03.S1	18.89 	7.81 	-49.6	6.51 	21.10 	18.05	27.54010695	5.934317343	0.800442804	0.059	0.992	0.739938396	12.61	27.88	10.87	17.41	31.2
mud05.2021.03.S2	18.89 	7.81 	-49.6	6.51 	21.10 	18.05	27.54010695	5.934317343	0.800442804	0.059	0.992	0.739938396	12.61	27.88	10.87	17.41	31.2
mud05.2021.03.S3	18.89 	7.81 	-49.6	6.51 	21.10 	18.05	27.54010695	5.934317343	0.800442804	0.059	0.992	0.739938396	12.61	27.88	10.87	17.41	31.2
mud05.2021.03.X1	17.25 	8.12 	90.6	5.90 	20.20 	18.74	27.72988506	9.166998012	0.74027833	0.05	1.173	0.916976063	21.91	41.46	10.04	7.91	18.26
mud05.2021.03.X2	17.25 	8.12 	90.6	5.90 	20.20 	18.74	27.72988506	9.166998012	0.74027833	0.05	1.173	0.916976063	21.91	41.46	10.04	7.91	18.26
mud05.2021.03.X3	17.25 	8.12 	90.6	5.90 	20.20 	18.74	27.72988506	9.166998012	0.74027833	0.05	1.173	0.916976063	21.91	41.46	10.04	7.91	18.26
mud05.2021.03.Z1	19.94 	7.91 	45.6	5.23 	21.70 	21.13	26.96335079	8.605268817	0.650358423	0.048	0.844	0.5703267	18.93	39.28	16.22	16.53	9.04
mud05.2021.03.Z2	19.94 	7.91 	45.6	5.23 	21.70 	21.13	26.96335079	8.605268817	0.650358423	0.048	0.844	0.5703267	18.93	39.28	16.22	16.53	9.04
mud05.2021.03.Z3	19.94 	7.91 	45.6	5.23 	21.70 	21.13	26.96335079	8.605268817	0.650358423	0.048	0.844	0.5703267	18.93	39.28	16.22	16.53	9.04
mud06.2021.04.S1	22.20 	7.79 	-140.4	4.94 	26.00 	15.8	24.79201331	8.655995575	0.698064159	0.041	0.873	0.523221799	19.14	40.52	10.15	13.52	16.67
mud06.2021.04.S2	22.20 	7.79 	-140.4	4.94 	26.00 	15.8	24.79201331	8.655995575	0.698064159	0.041	0.873	0.523221799	19.14	40.52	10.15	13.52	16.67
mud06.2021.04.S3	22.20 	7.79 	-140.4	4.94 	26.00 	15.8	24.79201331	8.655995575	0.698064159	0.041	0.873	0.523221799	19.14	40.52	10.15	13.52	16.67
