	mud01.2020.11.X1	mud01.2020.11.X2	mud01.2020.11.X3	mud02.2020.12.X1	mud02.2020.12.X2	mud02.2020.12.X3	mud03.2021.01.X1	mud03.2021.01.X2	mud03.2021.01.X3	mud04.2021.02.X1	mud04.2021.02.X2	mud04.2021.02.X3	mud05.2021.03.X1	mud05.2021.03.X2	mud05.2021.03.X3	mud06.2021.04.X1	mud06.2021.04.X2	mud06.2021.04.X3	mud07.2021.05.X1	mud07.2021.05.X2	mud07.2021.05.X3	mud08.2021.06.X1	mud08.2021.06.X2	mud08.2021.06.X3	mud09.2021.07.X1	mud09.2021.07.X2	mud09.2021.07.X3	mud10.2021.08.X1	mud10.2021.08.X2	mud10.2021.08.X3	mud11.2021.09.X1	mud11.2021.09.X2	mud11.2021.09.X3	mud12.2021.10.X1	mud12.2021.10.X2	mud12.2021.10.X3	mud13.2021.11.X1	mud13.2021.11.X2	mud13.2021.11.X3	mud14.2021.12.X1	mud14.2021.12.X2	mud14.2021.12.X3	mud15.2022.01.X1	mud15.2022.01.X2	mud15.2022.01.X3	mud16.2022.02.X1	mud16.2022.02.X2	mud16.2022.02.X3	mud17.2022.03.X1	mud17.2022.03.X2	mud17.2022.03.X3	mud18.2022.04.X1	mud18.2022.04.X2	mud18.2022.04.X3	mud19.2022.05.X1	mud19.2022.05.X2	mud19.2022.05.X3	mud20.2022.06.X1	mud20.2022.06.X2	mud20.2022.06.X3	mud21.2022.07.X1	mud21.2022.07.X2	mud21.2022.07.X3	mud22.2022.08.X1	mud22.2022.08.X2	mud22.2022.08.X3	mud23.2022.09.X1	mud23.2022.09.X2	mud23.2022.09.X3	mud24.2022.10.X1	mud24.2022.10.X2	mud24.2022.10.X3
7c556e92e0172ef719da472b509dc73e	24	13	31	3	10	18	36	46	71	31	30	18	37	28	35	31	14	28	14	5	11	0	5	0	0	0	6	0	0	2	7	0	0	32	21	39	0	10	11	0	10	14	31	25	35	11	16	10	24	6	16	6	8	7	0	6	0	0	2	5	0	0	0	11	19	12	0	0	0	0	0	0
d1b4d08773c6ef760a318c0c8d8326c2	0	7	4	2	0	0	0	0	7	0	8	4	0	3	0	2	6	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	5	0	0	5	4	0	5	0	0	0	8	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
52645120f6c0774841161d783d777515	0	6	3	0	8	0	0	4	0	14	14	0	8	12	4	6	6	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	12	0	16	9	10	0	11	16	13	22	9	9	11	14	7	6	0	4	4	4	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	5
7a5d0a6933aa0d45d10f7bd0004c16e0	0	1	4	4	9	4	3	11	18	4	7	11	5	10	13	17	11	18	0	4	7	0	0	1	0	0	1	0	1	4	2	6	11	25	20	17	11	12	30	9	8	9	5	7	21	14	7	6	3	4	5	3	6	3	0	4	3	1	0	1	2	0	2	6	8	14	0	4	7	5	1	5
839c239d06dc16a2d4e156bc9dd8444d	0	0	11	0	0	6	22	27	0	21	0	17	0	15	21	29	27	25	0	9	0	0	1	0	0	0	0	0	0	0	5	0	0	25	43	0	31	17	0	0	14	19	48	26	32	20	17	23	15	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	9
361a23791193caf651b0cf19c17cb5ff	14	27	19	0	8	10	0	0	2	0	0	9	4	2	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	4	4	4	6	0	2	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f9090f8ebf95bd0e7012b1edd4ba2f11	30	43	35	56	44	44	210	223	193	407	321	269	131	108	133	182	258	175	43	51	65	0	0	0	0	41	73	0	44	45	62	63	91	145	134	99	606	613	479	212	231	179	474	585	546	591	613	488	26	18	0	147	116	127	0	29	24	0	21	0	0	17	21	34	43	47	0	0	0	0	12	0
f93bb68cb54131329a699d458ae7c114	0	0	6	9	6	0	0	5	0	6	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	9	8	0	0	10	0	8	8	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4f0de3079e61fa2ba462773c9fc36a8a	28	30	36	18	22	40	22	21	17	19	23	21	28	21	16	32	16	23	5	0	5	0	2	0	0	5	2	3	0	4	0	5	0	34	21	22	19	11	18	18	22	16	25	24	17	17	14	27	4	3	5	0	15	5	8	8	3	0	4	1	0	0	0	17	24	20	0	3	5	0	0	0
e82765c3dddb62e149ab98aa6e5a7732	0	15	76	5	0	9	22	22	102	36	45	173	6	7	61	18	16	99	3	0	36	0	0	9	0	0	5	0	0	8	10	11	27	50	47	154	56	26	93	0	0	15	11	13	63	15	7	42	0	0	8	0	6	11	0	0	0	0	0	0	0	0	5	16	7	31	11	10	13	0	12	23
